member_id,member_name,segment,age,gender,income_level,membership_type,join_date
MEM-184,Sarah Roth,Home Office,66,Female,Medium,Bronze,2015-07-03
MEM-185,Tony Anderson,Consumer,28,Female,Medium,Gold,2015-07-04
MEM-186,Sabrina Robles,Corporate,36,Male,Low,Gold,2015-07-05
MEM-187,Jordan White,Home Office,35,Female,Medium,Silver,2015-07-06
MEM-188,Steven Vang,Corporate,34,Male,Low,Bronze,2015-07-07
MEM-189,Steven Carlson,Corporate,28,Female,Low,Silver,2015-07-08
MEM-190,Jared Orr,Consumer,32,Male,Medium,Bronze,2015-07-09
MEM-191,Shane Anderson,Consumer,25,Female,Medium,Bronze,2015-07-10
MEM-192,Luis Fleming,Home Office,61,Male,High,Silver,2015-07-11
MEM-193,William Williams,Home Office,46,Female,Medium,Gold,2015-07-12
MEM-194,Patricia Vargas,Corporate,34,Male,Medium,Silver,2015-07-13
MEM-195,Michael Curry,Consumer,43,Male,Low,Bronze,2015-07-14
MEM-196,Wendy Smith,Consumer,22,Female,Medium,Bronze,2015-07-15
MEM-197,Veronica Valdez,Corporate,21,Female,Low,Bronze,2015-07-16
MEM-198,Emily Wright,Home Office,41,Female,Low,Bronze,2015-07-17
MEM-199,Rita Graham DDS,Home Office,28,Female,Low,Bronze,2015-07-18
MEM-200,Eric Lee,Corporate,47,Female,Low,Bronze,2015-07-19
MEM-201,Barbara Gonzales,Corporate,57,Male,Low,Gold,2015-07-20
MEM-202,Patrick Lewis,Consumer,65,Male,Low,Bronze,2015-07-21
MEM-203,Cynthia Gillespie,Consumer,65,Female,Low,Gold,2015-07-22
MEM-204,David Joseph,Home Office,52,Female,Medium,Gold,2015-07-23
MEM-205,Colleen Schmidt,Corporate,61,Female,High,Bronze,2015-07-24
MEM-206,Devon White,Consumer,62,Female,High,Bronze,2015-07-25
MEM-207,Elaine Dyer,Consumer,50,Female,Medium,Silver,2015-07-26
MEM-208,Shirley Peters,Corporate,53,Male,High,Bronze,2015-07-27
MEM-209,George Kelly,Consumer,38,Male,Medium,Bronze,2015-07-28
MEM-210,Terri Scott,Consumer,55,Male,Medium,Silver,2015-07-29
MEM-211,Anthony Hicks,Corporate,22,Female,Low,Bronze,2015-07-30
MEM-212,Gail Davis,Corporate,22,Female,Low,Silver,2015-07-31
MEM-213,Lori Turner,Corporate,38,Female,Low,Bronze,2015-08-01
MEM-214,Julie Jimenez,Consumer,42,Male,Low,Bronze,2015-08-02
MEM-215,John Rose,Corporate,27,Female,Low,Gold,2015-08-03
MEM-216,Michelle Lynn DDS,Consumer,36,Female,Low,Bronze,2015-08-04
MEM-217,Eric Snyder,Consumer,49,Female,Medium,Bronze,2015-08-05
MEM-218,James King,Corporate,35,Male,Medium,Silver,2015-08-06
MEM-219,Eugene Oliver,Corporate,51,Male,Medium,Silver,2015-08-07
MEM-220,Darlene Lee,Home Office,65,Male,Medium,Bronze,2015-08-08
MEM-221,Joseph Reynolds,Corporate,32,Male,Medium,Bronze,2015-08-09
MEM-222,Matthew Jackson,Corporate,41,Male,Low,Bronze,2015-08-10
MEM-223,Nancy Villarreal,Consumer,22,Male,Medium,Silver,2015-08-11
MEM-224,Anthony Chung,Consumer,49,Female,High,Bronze,2015-08-12
MEM-225,Donald Bates,Consumer,26,Female,High,Bronze,2015-08-13
MEM-226,Vicki Brown,Consumer,22,Female,Medium,Bronze,2015-08-14
MEM-227,Kathy Swanson,Home Office,22,Male,Medium,Silver,2015-08-15
MEM-228,Pamela Clark,Consumer,58,Male,Low,Gold,2015-08-16
MEM-229,Ivan Alvarez,Home Office,58,Male,Medium,Silver,2015-08-17
MEM-230,Stephen Horton,Corporate,51,Male,Low,Gold,2015-08-18
MEM-231,Martin Atkins,Corporate,24,Female,Medium,Silver,2015-08-19
MEM-232,Colleen Perez,Corporate,43,Female,Medium,Bronze,2015-08-20
MEM-233,Diana Nelson,Corporate,18,Male,High,Bronze,2015-08-21
MEM-234,Brian Ramos,Consumer,69,Male,Medium,Gold,2015-08-22
MEM-235,Krista Cardenas,Consumer,51,Male,High,Silver,2015-08-23
MEM-236,James Mccarthy,Corporate,43,Female,Medium,Silver,2015-08-24
MEM-237,Eric Reyes,Consumer,49,Male,Medium,Gold,2015-08-25
MEM-238,Tim Kemp,Consumer,29,Female,Low,Bronze,2015-08-26
MEM-239,Kristine James,Corporate,23,Female,Low,Gold,2015-08-27
MEM-240,David James,Consumer,37,Male,High,Bronze,2015-08-28
MEM-241,Gregory Singh,Home Office,36,Male,Medium,Silver,2015-08-29
MEM-242,Timothy Washington,Home Office,33,Male,Medium,Gold,2015-08-30
MEM-243,Lisa Vazquez,Home Office,21,Female,High,Bronze,2015-08-31
MEM-244,Margaret Lopez,Consumer,49,Female,Medium,Bronze,2015-09-01
MEM-245,Jonathan Hamilton,Consumer,35,Female,High,Bronze,2015-09-02
MEM-246,Ian Graves,Home Office,22,Female,Low,Silver,2015-09-03
MEM-247,Mark Johnson,Consumer,67,Female,High,Bronze,2015-09-04
MEM-248,Thomas Potter,Home Office,23,Female,High,Silver,2015-09-05
MEM-249,Brian Hoffman,Home Office,31,Male,High,Silver,2015-09-06
MEM-250,Carl Whitaker,Home Office,69,Male,Medium,Bronze,2015-09-07
MEM-251,Gary Myers,Consumer,66,Male,Low,Bronze,2015-09-08
MEM-252,Roger Stewart,Consumer,35,Female,Low,Silver,2015-09-09
MEM-253,Marcia Garcia,Home Office,27,Male,Low,Bronze,2015-09-10
MEM-254,Tami Franklin,Consumer,40,Male,Medium,Silver,2015-09-11
MEM-255,Monica West,Consumer,68,Male,Medium,Silver,2015-09-12
MEM-256,Kim Brown,Corporate,35,Female,Medium,Bronze,2015-09-13
MEM-257,Diana Tapia,Home Office,21,Male,Medium,Bronze,2015-09-14
MEM-258,Melanie Foley,Corporate,69,Male,Low,Bronze,2015-09-15
MEM-259,Caroline Buck,Corporate,49,Female,Low,Bronze,2015-09-16
MEM-260,Janet Miller,Consumer,64,Male,Low,Silver,2015-09-17
MEM-261,Kelly Webster,Corporate,23,Male,Low,Gold,2015-09-18
MEM-262,Jessica Nguyen,Home Office,43,Female,Medium,Bronze,2015-09-19
MEM-263,Isaiah Ellis,Consumer,23,Male,Low,Bronze,2015-09-20
MEM-264,Jason Johnson,Corporate,52,Female,Low,Bronze,2015-09-21
MEM-265,Mark Strickland,Home Office,58,Female,Medium,Silver,2015-09-22
MEM-266,Karen Moore,Corporate,60,Male,High,Bronze,2015-09-23
MEM-267,Gregory Marshall,Corporate,22,Female,Low,Gold,2015-09-24
MEM-268,Richard King,Corporate,31,Male,High,Bronze,2015-09-25
MEM-269,Lori Johnson,Consumer,19,Male,High,Silver,2015-09-26
MEM-270,Autumn Anderson,Consumer,68,Male,Medium,Gold,2015-09-27
MEM-271,Austin Heath,Home Office,57,Male,Low,Bronze,2015-09-28
MEM-272,Haley Larson,Home Office,30,Male,Low,Bronze,2015-09-29
MEM-273,Mr. Daniel Rivera,Home Office,68,Female,High,Bronze,2015-09-30
MEM-274,Kristopher Ellis,Home Office,22,Female,Medium,Silver,2015-10-01
MEM-275,Matthew Mccarty,Corporate,64,Male,Medium,Bronze,2015-10-02
MEM-276,William Lamb,Corporate,53,Female,High,Silver,2015-10-03
MEM-277,Lori Williams,Corporate,53,Male,Medium,Silver,2015-10-04
MEM-278,Donald Burton,Corporate,67,Male,Medium,Bronze,2015-10-05
MEM-279,Cory Henry,Corporate,36,Male,Medium,Silver,2015-10-06
MEM-280,Connie Simon,Corporate,37,Male,Low,Gold,2015-10-07
MEM-281,Joshua Vargas,Home Office,39,Female,Medium,Bronze,2015-10-08
MEM-282,Michelle Stanley,Consumer,48,Male,Medium,Gold,2015-10-09
MEM-283,Kenneth Sanders,Consumer,58,Male,High,Bronze,2015-10-10
MEM-284,Darrell Hall,Consumer,64,Male,Medium,Gold,2015-10-11
MEM-285,Austin Rogers,Corporate,61,Male,Low,Bronze,2015-10-12
MEM-286,Cesar Hall,Consumer,21,Female,Low,Gold,2015-10-13
MEM-287,Daniel Holland,Consumer,20,Male,Medium,Gold,2015-10-14
MEM-288,Brandon Baxter,Corporate,54,Female,Medium,Bronze,2015-10-15
MEM-289,Sierra Rogers,Consumer,42,Female,Medium,Bronze,2015-10-16
MEM-290,Erika Alexander,Corporate,66,Female,Low,Gold,2015-10-17
MEM-291,Derrick Evans,Consumer,54,Female,Low,Bronze,2015-10-18
MEM-292,Patricia Sims,Consumer,21,Male,High,Bronze,2015-10-19
MEM-293,Tara Saunders,Home Office,56,Female,Medium,Bronze,2015-10-20
MEM-294,Michael Meyer,Consumer,24,Female,Medium,Gold,2015-10-21
MEM-295,Andrew Reed,Consumer,24,Female,Medium,Gold,2015-10-22
MEM-296,Maureen Shah,Corporate,66,Female,Medium,Silver,2015-10-23
MEM-297,Justin Parrish,Corporate,42,Female,Low,Bronze,2015-10-24
MEM-298,Danielle Becker,Consumer,32,Male,Medium,Silver,2015-10-25
MEM-299,Kevin Trevino,Corporate,24,Male,Low,Bronze,2015-10-26
MEM-300,Mr. Mario Fields DDS,Consumer,64,Female,Low,Silver,2015-10-27
MEM-301,Dr. Elizabeth Pratt,Consumer,69,Female,Medium,Bronze,2015-10-28
MEM-302,Molly Lutz,Corporate,21,Male,Medium,Silver,2015-10-29
MEM-303,Nicholas Howard,Corporate,51,Female,Medium,Silver,2015-10-30
MEM-304,Willie Rogers,Corporate,62,Male,Medium,Silver,2015-10-31
MEM-305,John Williams,Corporate,61,Female,Medium,Gold,2015-11-01
MEM-306,Kimberly Rodriguez,Home Office,59,Female,High,Bronze,2015-11-02
MEM-307,Danielle Church,Corporate,36,Male,High,Bronze,2015-11-03
MEM-308,Gail Robinson,Consumer,64,Female,Low,Silver,2015-11-04
MEM-309,Tiffany Oconnor,Corporate,66,Female,Low,Bronze,2015-11-05
MEM-310,Joann Taylor,Consumer,55,Male,Medium,Silver,2015-11-06
MEM-311,Edward Brown,Consumer,44,Female,Medium,Silver,2015-11-07
MEM-312,Jason Carter,Consumer,22,Male,Medium,Bronze,2015-11-08
MEM-313,Paul Cruz,Consumer,30,Female,Low,Bronze,2015-11-09
MEM-314,David Long,Home Office,63,Male,Medium,Bronze,2015-11-10
MEM-315,Kent Johnston,Home Office,31,Female,Medium,Silver,2015-11-11
MEM-316,Deborah Cruz,Corporate,47,Male,Medium,Bronze,2015-11-12
MEM-317,Julie Mcbride,Consumer,64,Male,Low,Bronze,2015-11-13
MEM-318,Shane Edwards,Consumer,65,Male,Medium,Bronze,2015-11-14
MEM-319,David Rose,Consumer,27,Female,Medium,Bronze,2015-11-15
MEM-320,William Espinoza,Consumer,49,Female,Medium,Silver,2015-11-16
MEM-321,Caroline Conway,Corporate,18,Male,Medium,Gold,2015-11-17
MEM-322,Samuel Adkins,Corporate,41,Female,Medium,Bronze,2015-11-18
MEM-323,Timothy Martin,Corporate,46,Male,High,Silver,2015-11-19
MEM-324,John Anderson,Consumer,60,Female,Medium,Bronze,2015-11-20
MEM-325,David Perez,Home Office,24,Male,Medium,Gold,2015-11-21
MEM-326,Mark Lawrence,Corporate,48,Female,Medium,Silver,2015-11-22
MEM-327,Stephanie Whitney,Corporate,34,Female,High,Silver,2015-11-23
MEM-328,Samantha Hunter,Corporate,47,Female,Medium,Bronze,2015-11-24
MEM-329,Amanda Holmes,Consumer,42,Female,Low,Gold,2015-11-25
MEM-330,Michael Webb,Consumer,45,Female,Medium,Silver,2015-11-26
MEM-331,Jacob Reed,Consumer,53,Female,Medium,Silver,2015-11-27
MEM-332,Victor Orozco,Corporate,24,Female,Low,Gold,2015-11-28
MEM-333,Jacob Bond,Consumer,52,Female,Low,Gold,2015-11-29
MEM-334,Tracey Walsh,Consumer,37,Male,Low,Gold,2015-11-30
MEM-335,William Garcia,Consumer,31,Male,Low,Bronze,2015-12-01
MEM-336,Lisa Griffin,Consumer,67,Male,Low,Bronze,2015-12-02
MEM-337,Jimmy Warren,Home Office,67,Female,High,Bronze,2015-12-03
MEM-338,Maria Kane,Corporate,47,Female,Low,Gold,2015-12-04
MEM-339,Alison Schultz,Consumer,18,Male,Low,Bronze,2015-12-05
MEM-340,Yolanda Tran,Consumer,55,Male,High,Bronze,2015-12-06
MEM-341,Brandon Solis,Consumer,58,Male,Medium,Bronze,2015-12-07
MEM-342,Stephanie Olson,Consumer,42,Male,Medium,Silver,2015-12-08
MEM-343,Tanya Johnson,Consumer,51,Male,Medium,Bronze,2015-12-09
MEM-344,Kelsey Bolton,Consumer,25,Male,Low,Silver,2015-12-10
MEM-345,Tiffany Williams,Consumer,37,Male,High,Bronze,2015-12-11
MEM-346,Autumn Davidson,Corporate,47,Male,High,Bronze,2015-12-12
MEM-347,Andrea Douglas,Corporate,21,Male,Medium,Bronze,2015-12-13
MEM-348,Amanda Spencer,Consumer,38,Male,Medium,Gold,2015-12-14
MEM-349,Craig Reese,Consumer,44,Female,Medium,Silver,2015-12-15
MEM-350,Sandra Calhoun,Corporate,27,Female,Low,Bronze,2015-12-16
MEM-351,Jennifer Richardson,Corporate,40,Female,Medium,Bronze,2015-12-17
MEM-352,Leslie Ward,Home Office,50,Male,Medium,Silver,2015-12-18
MEM-353,Sharon Evans,Corporate,28,Male,Low,Bronze,2015-12-19
MEM-354,Pamela Johnson,Consumer,58,Female,Medium,Bronze,2015-12-20
MEM-355,Todd Cole,Consumer,36,Female,Medium,Bronze,2015-12-21
MEM-356,Jeremy Walker,Corporate,28,Male,Medium,Gold,2015-12-22
MEM-357,Monica Rivera,Consumer,21,Female,Low,Bronze,2015-12-23
